serialno,sample_geog,age,race,sex,AGEP,SEX,RAC1P
2012000005576,1,20 to 35,white,male,27,1,1
2012000017760,1,20 to 35,white,male,34,1,1
2012000021787,1,20 to 35,white,male,32,1,1
2012000021815,1,20 to 35,white,male,23,1,1
2012000065237,1,20 to 35,white,male,24,1,1
2012000072775,1,20 to 35,white,male,26,1,1
2012000079793,1,20 to 35,white,male,32,1,1
2012000096867,1,20 to 35,white,male,33,1,1
2012000098529,1,20 to 35,white,male,26,1,1
2012000123983,1,20 to 35,white,male,34,1,1
2012000136005,1,20 to 35,white,male,31,1,1
2012000139772,1,20 to 35,white,male,32,1,1
2012000152848,1,20 to 35,white,male,26,1,1
2012000160275,1,20 to 35,white,male,26,1,1
2012000162541,1,20 to 35,white,male,25,1,1
2012000173985,1,20 to 35,white,male,34,1,1
2012000189231,1,20 to 35,white,male,31,1,1
2012000195059,1,20 to 35,white,male,20,1,1
2012000200087,1,20 to 35,white,male,29,1,1
2012000212891,1,20 to 35,white,male,25,1,1
2012000223896,1,20 to 35,white,male,28,1,1
2012000230064,1,20 to 35,white,male,20,1,1
2012000247534,1,20 to 35,white,male,26,1,1
2012000251210,1,20 to 35,white,male,24,1,1
2012000273310,1,20 to 35,white,male,28,1,1
2012000303185,1,20 to 35,white,male,20,1,1
2012000310353,1,20 to 35,white,male,31,1,1
2012000314576,1,20 to 35,white,male,22,1,1
2012000316797,1,20 to 35,white,male,33,1,1
2012000330635,1,20 to 35,white,male,22,1,1
2012000337296,1,20 to 35,white,male,31,1,1
2012000344059,1,20 to 35,white,male,33,1,1
2012000360081,1,20 to 35,white,male,20,1,1
2012000386787,1,20 to 35,white,male,33,1,1
2012000395438,1,20 to 35,white,male,34,1,1
2012000414188,1,20 to 35,white,male,26,1,1
2012000465462,1,20 to 35,white,male,30,1,1
2012000491735,1,20 to 35,white,male,26,1,1
2012000516318,1,20 to 35,white,male,22,1,1
2012000522864,1,20 to 35,white,male,27,1,1
2012000526726,1,20 to 35,white,male,28,1,1
2012000563637,1,20 to 35,white,male,29,1,1
2012000566273,1,20 to 35,white,male,32,1,1
2012000568624,1,20 to 35,white,male,33,1,1
2012000580252,1,20 to 35,white,male,32,1,1
2012000601702,1,20 to 35,white,male,31,1,1
2012000644053,1,20 to 35,white,male,28,1,1
2012000645204,1,20 to 35,white,male,23,1,1
2012000646653,1,20 to 35,white,male,29,1,1
2012000651244,1,20 to 35,white,male,25,1,1
2012000674210,1,20 to 35,white,male,20,1,1
2012000683018,1,20 to 35,white,male,25,1,1
2012000686308,1,20 to 35,white,male,20,1,1
2012000688446,1,20 to 35,white,male,24,1,1
2012000694586,1,20 to 35,white,male,20,1,1
2012000695503,1,20 to 35,white,male,22,1,1
2012000697704,1,20 to 35,white,male,26,1,1
2012000709482,1,20 to 35,white,male,30,1,1
2012000715008,1,20 to 35,white,male,23,1,1
2012000715008,1,20 to 35,white,male,20,1,1
2012000715008,1,20 to 35,white,male,24,1,1
2012000715008,1,20 to 35,white,male,20,1,1
2012000728204,1,20 to 35,white,male,26,1,1
2012000731177,1,20 to 35,white,male,32,1,1
2012000733522,1,20 to 35,white,male,32,1,1
2012000737274,1,20 to 35,white,male,27,1,1
2012000741399,1,20 to 35,white,male,33,1,1
2012000744648,1,20 to 35,white,male,29,1,1
2012000751706,1,20 to 35,white,male,23,1,1
2012000765893,1,20 to 35,white,male,27,1,1
2012000768784,1,20 to 35,white,male,29,1,1
