state,pumano,hhid,serialno,pnum,sex,race,age
35,500,3,2010000000000,1,2,1,2
35,500,4,2010000000000,1,2,2,2
35,500,4,2010000000000,2,1,2,2
35,500,4,2010000000000,4,1,2,1
35,500,4,2010000000000,3,2,2,1
35,500,7,2010000000000,4,1,1,1
35,500,7,2010000000000,3,1,1,1
35,500,7,2010000000000,1,1,1,2
35,500,7,2010000000000,2,2,1,2
35,500,15,2010000000000,2,2,1,3
35,500,15,2010000000000,1,1,1,3
35,500,16,2010000000000,2,2,2,3
35,500,16,2010000000000,1,1,1,3
35,500,19,2010000000000,1,2,1,2
35,500,23,2010000000000,3,1,3,2
35,500,23,2010000000000,4,1,3,2
35,500,23,2010000000000,1,2,3,2
35,500,23,2010000000000,2,2,3,2
35,500,27,2010000000000,3,1,3,1
35,500,27,2010000000000,5,1,3,2
35,500,27,2010000000000,4,1,3,1
35,500,27,2010000000000,1,2,3,2
35,500,27,2010000000000,2,2,3,2
35,500,29,2010000000000,1,2,2,2
35,500,29,2010000000000,2,1,2,2
35,500,29,2010000000000,3,1,2,1
35,500,29,2010000000000,4,1,2,1
35,500,29,2010000000000,5,2,2,1
35,500,36,2010000000000,1,1,1,3
35,500,36,2010000000000,2,2,1,2
35,500,40,2010000000000,1,2,1,3
35,500,40,2010000000000,2,1,1,2
35,500,52,2010000000000,1,2,2,2
35,500,52,2010000000000,2,2,2,2
35,500,52,2010000000000,3,1,2,1
35,500,52,2010000000000,4,1,2,2
35,500,59,2010000000000,1,1,1,3
35,500,59,2010000000000,2,2,1,2
35,500,59,2010000000000,3,1,1,2
35,500,59,2010000000000,4,2,1,3
35,500,65,2010000000000,2,2,1,2
35,500,65,2010000000000,1,1,1,3
35,500,67,2010000000000,3,1,1,1
35,500,67,2010000000000,1,1,1,2
35,500,67,2010000000000,2,2,1,2
35,500,70,2010000000000,3,1,3,2
35,500,70,2010000000000,1,2,3,2
35,500,70,2010000000000,2,1,3,2
35,500,71,2010000000000,2,2,1,2
35,500,71,2010000000000,1,1,1,2
35,500,81,2010000000000,1,1,3,2
35,500,81,2010000000000,2,2,3,2
35,500,81,2010000000000,3,2,3,1
35,500,87,2010000000000,1,2,1,3
35,500,90,2010000000000,5,2,1,3
35,500,90,2010000000000,4,2,2,1
35,500,90,2010000000000,2,2,3,2
35,500,90,2010000000000,1,1,2,2
35,500,90,2010000000000,3,1,2,1
35,500,93,2010000000000,2,2,1,3
35,500,93,2010000000000,1,1,1,3
35,500,105,2010000000000,2,1,2,3
35,500,105,2010000000000,1,2,1,2
35,500,106,2010000000000,1,1,1,2
35,500,106,2010000000000,4,1,1,1
35,500,106,2010000000000,3,2,1,1
35,500,106,2010000000000,2,2,1,2
35,500,107,2010000000000,3,2,2,1
35,500,107,2010000000000,1,1,2,2
35,500,107,2010000000000,2,2,2,2
35,500,110,2010000000000,1,1,2,3
35,500,116,2010000000000,2,1,1,2
35,500,116,2010000000000,1,2,1,2
35,500,117,2010000000000,1,2,2,2
35,500,117,2010000000000,2,1,2,1
35,500,119,2010000000000,1,1,2,2
35,500,119,2010000000000,3,2,2,2
35,500,119,2010000000000,4,2,2,1
35,500,119,2010000000000,5,1,2,2
35,500,119,2010000000000,2,2,2,3
35,500,120,2010000000000,1,1,3,2
35,500,128,2010000000000,2,2,2,2
35,500,128,2010000000000,3,1,2,1
35,500,128,2010000000000,1,2,2,2
35,500,128,2010000000000,4,1,2,1
35,500,131,2010000000000,1,1,2,2
35,500,141,2010000000000,1,1,1,2
35,500,141,2010000000000,2,2,1,2
35,500,145,2010000000000,2,2,1,3
35,500,145,2010000000000,1,1,1,3
35,500,147,2010000000000,1,1,2,2
35,500,147,2010000000000,2,2,2,2
35,500,147,2010000000000,3,1,2,2
35,500,149,2010000000000,2,2,1,2
35,500,149,2010000000000,1,1,1,2
35,500,150,2010000000000,1,2,2,2
35,500,156,2010000000000,3,2,2,1
35,500,156,2010000000000,4,2,2,1
35,500,156,2010000000000,2,1,2,2
35,500,156,2010000000000,1,2,2,2
35,500,157,2010000000000,3,2,2,1
35,500,157,2010000000000,2,2,2,2
35,500,157,2010000000000,1,2,2,2
35,500,162,2010000000000,1,1,2,2
35,500,165,2010000000000,3,1,1,1
35,500,165,2010000000000,1,1,3,2
35,500,165,2010000000000,4,1,1,1
35,500,165,2010000000000,5,2,1,1
35,500,165,2010000000000,2,2,1,2
35,500,168,2010000000000,1,2,3,2
35,500,183,2010000000000,1,1,2,2
35,500,183,2010000000000,3,1,2,1
35,500,183,2010000000000,2,2,2,2
35,500,184,2010000000000,1,1,3,2
35,500,184,2010000000000,2,2,1,2
35,500,190,2010000000000,1,2,1,3
35,500,201,2010000000000,1,1,1,2
35,500,201,2010000000000,2,2,1,2
35,500,207,2010000000000,1,1,2,2
35,500,210,2010000000000,4,1,1,1
35,500,210,2010000000000,1,2,1,2
35,500,210,2010000000000,2,1,1,2
35,500,210,2010000000000,3,1,1,2
35,500,215,2010000000000,1,2,1,3
35,500,216,2010000000000,1,1,1,2
35,500,227,2010000000000,2,1,2,2
35,500,227,2010000000000,1,2,1,2
35,500,232,2010000000000,1,1,1,2
35,500,232,2010000000000,2,2,1,2
35,500,232,2010000000000,3,1,1,2
35,500,246,2010000000000,3,1,1,1
35,500,246,2010000000000,2,1,1,2
35,500,246,2010000000000,1,2,1,2
35,500,246,2010000000000,4,2,1,1
35,500,251,2010000000000,1,2,1,2
35,500,253,2010000000000,1,1,2,2
35,500,253,2010000000000,3,2,2,1
35,500,253,2010000000000,2,2,2,2
35,500,258,2010000000000,3,2,1,2
35,500,258,2010000000000,2,1,3,1
35,500,258,2010000000000,1,1,2,2
35,500,265,2010000000000,1,1,3,2
35,500,266,2010000000000,2,1,1,2
35,500,266,2010000000000,1,2,1,2
35,500,270,2010000000000,1,2,1,2
35,500,272,2010000000000,2,1,2,2
35,500,272,2010000000000,1,2,2,2
35,500,273,2010000000000,1,2,1,2
35,500,274,2010000000000,1,1,2,2
35,500,277,2010000000000,1,1,1,2
35,500,277,2010000000000,3,1,1,2
35,500,277,2010000000000,2,2,1,2
35,500,280,2010000000000,2,1,1,2
35,500,280,2010000000000,1,2,1,2
35,500,285,2010000000000,1,2,1,3
35,500,295,2010000000000,1,2,1,2
35,500,295,2010000000000,3,2,1,1
35,500,295,2010000000000,2,1,1,2
35,500,296,2010000000000,2,2,2,2
35,500,296,2010000000000,1,1,2,3
35,500,296,2010000000000,3,2,2,2
35,500,296,2010000000000,4,2,2,1
35,500,298,2010000000000,1,2,1,3
35,500,299,2010000000000,2,2,2,2
35,500,299,2010000000000,1,1,2,2
35,500,309,2010000000000,1,1,1,3
35,500,309,2010000000000,2,2,1,3
35,500,313,2010000000000,1,1,1,3
35,500,313,2010000000000,2,2,1,2
35,500,317,2010000000000,3,1,2,1
35,500,317,2010000000000,2,1,2,1
