state,pumano,hhid,serialno,inc,child,veh,wkr
35,605,1,2.009E+12,3,1,4,3
35,602,2,2.009E+12,1,2,2,1
35,500,3,2.009E+12,1,2,2,1
35,500,4,2.009E+12,2,1,3,3
35,605,5,2.009E+12,5,2,3,2
35,603,6,2.009E+12,4,2,4,3
35,500,7,2.009E+12,5,1,3,3
35,603,8,2.009E+12,4,2,3,3
35,601,9,2.009E+12,3,2,2,1
35,602,10,2.009E+12,4,2,4,2
35,604,11,2.009E+12,2,2,5,4
35,604,12,2.009E+12,2,2,3,1
35,603,13,2.009E+12,4,2,2,3
35,601,14,2.009E+12,2,2,2,2
35,500,15,2.009E+12,2,2,2,1
35,500,16,2.009E+12,4,2,4,2
35,605,17,2.009E+12,4,2,5,3
35,604,18,2.009E+12,1,2,2,1
35,500,19,2.009E+12,2,2,2,1
35,604,20,2.009E+12,1,2,3,1
35,604,21,2.009E+12,2,2,2,2
35,604,22,2.009E+12,5,2,2,2
35,500,23,2.009E+12,5,2,3,4
35,601,24,2.009E+12,4,1,4,3
35,601,25,2.009E+12,2,2,2,2
35,603,26,2.009E+12,1,2,4,2
35,500,27,2.009E+12,4,1,3,4
35,603,28,2.009E+12,1,2,3,1
35,500,29,2.009E+12,4,1,3,2
35,604,30,2.009E+12,3,2,3,3
35,604,31,2.009E+12,1,2,1,1
35,604,32,2.009E+12,1,2,2,2
35,603,33,2.009E+12,4,2,3,2
35,601,34,2.009E+12,5,2,4,2
35,601,35,2.009E+12,4,2,3,2
35,500,36,2.009E+12,4,2,3,1
35,601,37,2.009E+12,2,2,2,2
35,602,38,2.009E+12,5,2,4,3
35,603,39,2.009E+12,1,1,2,1
35,500,40,2.009E+12,4,2,4,3
35,605,41,2.009E+12,2,1,3,3
35,605,42,2.009E+12,5,1,3,3
35,604,43,2.009E+12,1,2,1,1
35,602,44,2.009E+12,1,2,2,1
35,605,45,2.009E+12,3,1,4,4
35,601,46,2.009E+12,4,2,2,2
35,604,47,2.009E+12,4,2,1,1
35,601,48,2.009E+12,2,2,2,2
35,603,49,2.009E+12,3,2,2,2
35,605,50,2.009E+12,3,1,3,3
35,603,51,2.009E+12,1,2,1,1
35,500,52,2.009E+12,1,1,2,1
35,603,53,2.009E+12,5,2,3,2
35,602,54,2.009E+12,2,2,3,3
35,603,55,2.009E+12,2,2,2,2
35,604,56,2.009E+12,1,2,2,2
35,604,57,2.009E+12,1,2,1,1
35,601,58,2.009E+12,3,2,4,2
35,500,59,2.009E+12,3,2,3,2
35,604,60,2.009E+12,2,2,3,2
35,601,61,2.009E+12,3,2,2,1
35,602,62,2.009E+12,1,2,2,1
35,603,63,2.009E+12,5,1,4,3
35,601,64,2.009E+12,5,2,3,2
35,500,65,2.009E+12,4,2,3,2
35,602,66,2.009E+12,4,1,5,3
35,500,67,2.009E+12,4,1,5,3
35,601,68,2.009E+12,5,2,3,3
35,605,69,2.009E+12,4,1,3,3
35,500,70,2.009E+12,4,2,3,3
35,500,71,2.009E+12,5,2,5,3
35,602,72,2.009E+12,2,1,3,2
35,605,73,2.009E+12,3,1,2,3
35,602,74,2.009E+12,2,2,3,3
35,603,75,2.009E+12,4,2,4,3
35,603,76,2.009E+12,2,1,2,2
35,601,77,2.009E+12,2,2,2,2
35,601,78,2.009E+12,5,2,3,3
35,603,79,2.009E+12,4,2,3,2
35,602,80,2.009E+12,3,1,3,3
35,500,81,2.009E+12,5,1,4,2
35,602,82,2.009E+12,4,2,5,4
35,605,83,2.009E+12,5,2,3,2
35,603,84,2.009E+12,4,2,3,3
35,605,85,2.009E+12,3,2,3,2
35,603,86,2.009E+12,2,2,3,2
35,500,87,2.009E+12,1,2,2,1
35,601,88,2.009E+12,5,1,3,3
35,603,89,2.009E+12,2,2,3,2
35,500,90,2.009E+12,5,1,5,2
35,605,91,2.009E+12,2,2,3,1
35,602,92,2.009E+12,4,2,2,2
35,500,93,2.009E+12,2,2,2,1
35,601,94,2.009E+12,2,1,3,3
35,601,95,2.009E+12,5,2,3,1
35,605,96,2.009E+12,1,2,2,2
35,603,97,2.009E+12,5,1,4,4
35,604,98,2.009E+12,2,2,2,2
35,605,99,2.009E+12,1,2,5,1
35,601,100,2.009E+12,4,1,3,3
35,603,101,2.009E+12,1,2,1,1
35,603,102,2.009E+12,5,1,4,3
35,601,103,2.009E+12,4,2,3,3
35,601,104,2.009E+12,3,2,2,2
35,500,105,2.009E+12,4,2,4,1
35,500,106,2.009E+12,4,1,3,3
35,500,107,2.009E+12,4,1,3,3
35,601,108,2.009E+12,5,2,3,3
35,601,109,2.009E+12,3,2,3,1
35,500,110,2.009E+12,1,2,1,1
35,601,111,2.009E+12,3,2,3,3
35,603,112,2.009E+12,3,2,2,2
35,605,113,2.009E+12,2,1,1,3
35,603,114,2.009E+12,5,1,3,2
35,603,115,2.009E+12,4,1,3,2
35,500,116,2.009E+12,3,2,3,3
35,500,117,2.009E+12,1,1,3,2
35,601,118,2.009E+12,2,2,2,1
35,500,119,2.009E+12,4,1,5,2
35,500,120,2.009E+12,1,2,3,2
35,603,121,2.009E+12,4,2,2,2
35,605,122,2.009E+12,1,2,3,1
35,602,123,2.009E+12,3,2,2,2
35,601,124,2.009E+12,3,2,4,2
35,604,125,2.009E+12,2,1,2,2
35,604,126,2.009E+12,4,2,4,4
35,601,127,2.009E+12,4,1,4,4
35,500,128,2.009E+12,3,1,4,3
35,604,129,2.009E+12,3,2,4,3
35,603,130,2.009E+12,4,1,2,3
35,500,131,2.009E+12,1,2,3,1
35,603,132,2.009E+12,4,2,3,3
35,603,133,2.009E+12,5,2,3,3
35,605,134,2.009E+12,5,2,4,4
35,601,135,2.009E+12,5,2,2,1
35,604,136,2.009E+12,2,2,2,2
35,603,137,2.009E+12,5,2,3,2
35,603,138,2.009E+12,5,1,2,1
35,602,139,2.009E+12,3,1,2,2
35,603,140,2.009E+12,3,2,5,3
35,500,141,2.009E+12,5,2,4,1
35,605,142,2.009E+12,3,2,4,3
35,605,143,2.009E+12,4,2,3,1
35,603,144,2.009E+12,2,1,2,3
35,500,145,2.009E+12,3,2,3,1
35,602,146,2.009E+12,5,2,5,4
35,500,147,2.009E+12,4,2,5,2
35,601,148,2.009E+12,5,1,4,3
35,500,149,2.009E+12,4,2,3,1
35,500,150,2.009E+12,3,2,2,2
35,602,151,2.009E+12,4,2,2,2
35,601,152,2.009E+12,5,1,4,3
35,605,153,2.009E+12,3,2,2,2
35,604,154,2.009E+12,1,2,2,1
35,602,155,2.009E+12,1,2,2,2
35,500,156,2.009E+12,5,1,3,2
35,500,157,2.009E+12,3,1,3,3
35,601,158,2.009E+12,4,2,3,3
35,605,159,2.009E+12,5,1,3,3
35,603,160,2.009E+12,5,1,3,4
35,601,161,2.009E+12,5,1,3,3
35,500,162,2.009E+12,1,2,1,1
35,601,163,2.009E+12,4,2,2,2
35,604,164,2.009E+12,4,2,3,3
35,500,165,2.009E+12,3,1,3,3
35,601,166,2.009E+12,4,2,2,2
35,605,167,2.009E+12,1,2,2,1
35,500,168,2.009E+12,2,2,2,2
35,601,169,2.009E+12,2,2,2,1
35,601,170,2.009E+12,5,2,1,1
35,604,171,2.009E+12,4,2,3,3
35,604,172,2.009E+12,1,2,2,1
35,605,173,2.009E+12,3,1,4,4
35,601,174,2.009E+12,5,1,5,4
35,603,175,2.009E+12,4,1,2,2
35,601,176,2.009E+12,3,1,2,3
35,605,177,2.009E+12,1,2,3,3
35,605,178,2.009E+12,3,1,3,2
35,603,179,2.009E+12,2,2,2,2
35,601,180,2.009E+12,5,2,4,3
35,602,181,2.009E+12,4,2,3,3
35,605,182,2.009E+12,1,1,3,2
35,500,183,2.009E+12,3,1,2,3
35,500,184,2.009E+12,5,2,3,3
35,603,185,2.009E+12,4,1,1,3
35,602,186,2.009E+12,4,2,2,2
35,605,187,2.009E+12,2,2,2,2
35,602,188,2.009E+12,5,2,4,2
35,601,189,2.009E+12,5,2,3,3
35,500,190,2.009E+12,1,2,1,1
35,603,191,2.009E+12,5,2,3,2
35,604,192,2.009E+12,5,2,2,2
35,603,193,2.009E+12,2,2,3,2
35,604,194,2.009E+12,2,2,3,3
35,604,195,2.009E+12,4,2,3,3
35,601,196,2.009E+12,5,2,2,2
35,602,197,2.009E+12,3,2,5,1
35,601,198,2.009E+12,5,2,4,4
35,601,199,2.009E+12,5,1,5,3
35,605,200,2.009E+12,2,2,3,1
35,500,201,2.009E+12,5,2,3,3
35,602,202,2.009E+12,1,2,3,3
35,604,203,2.009E+12,2,2,2,3
35,601,204,2.009E+12,1,1,2,2
35,601,205,2.009E+12,1,1,2,2
35,605,206,2.009E+12,1,2,2,1
35,500,207,2.009E+12,2,2,2,2
35,602,208,2.009E+12,1,2,2,1
35,602,209,2.009E+12,2,2,2,1
35,500,210,2.009E+12,4,1,4,4
35,603,211,2.009E+12,1,2,2,1
35,604,212,2.009E+12,1,2,2,1
35,601,213,2.009E+12,4,1,3,2
35,603,214,2.009E+12,4,1,3,2
35,500,215,2.009E+12,2,2,3,1
35,500,216,2.009E+12,2,2,3,2
35,602,217,2.009E+12,5,1,3,3
