state,county,tract,bg,sex1,sex2,age1,age2,age3,race1,race2,race3,pop
35,1,107,0,1333,1382,467,1627,621,426,2064,225,2715
35,1,108,0,1304,1341,507,1687,451,534,1781,330,2645
35,1,109,0,1196,1375,545,1487,539,660,1660,251,2571
35,1,110,0,1710,1851,673,2299,589,1016,2156,389,3561
35,1,111,0,1333,1466,621,1673,505,692,1824,283,2799
35,1,112,0,1017,1063,354,1292,434,318,1601,161,2080
35,1,113,0,1496,1661,697,2035,425,956,1852,349,3157
35,1,114,0,1552,1641,708,2110,375,1209,1697,287,3193
35,1,115,0,1587,1674,744,2090,427,1113,1691,457,3261
35,1,116,0,1393,1505,612,1740,546,866,1779,253,2898
35,1,117,0,1116,1203,447,1411,461,642,1447,230,2319
35,1,118,0,1345,1472,636,1729,452,781,1619,417,2817
35,1,119,0,838,984,380,1010,432,475,1205,142,1822
35,1,120,0,1343,1323,628,1676,362,888,1494,284,2666
35,1,121,0,2587,3055,1063,3372,1207,1772,3221,649,5642
35,1,122,0,1900,2171,685,2484,902,1144,2445,482,4071
35,1,123,0,2447,2609,1132,3107,817,1936,2624,496,5056
35,1,124,0,1822,1632,538,2471,445,1319,1654,481,3454
35,1,125,0,2076,2128,719,2743,742,894,2818,492,4204
35,1,126,0,1386,1480,520,1852,494,861,1715,290,2866
35,1,127,0,1329,1460,611,1726,452,1115,1392,282,2789
35,1,128,0,1557,1651,766,2040,402,1492,1325,391,3208
35,1,129,0,2148,2452,1018,2807,775,1481,2329,790,4600
35,1,203,0,941,1012,348,1319,286,555,1121,277,1953
35,1,204,0,1580,1697,696,2085,496,1557,1249,471,3277
35,1,205,0,1550,1679,609,2220,400,1593,1260,376,3229
35,1,206,0,1413,1570,621,1766,596,1043,1676,264,2983
35,1,207,0,1584,1786,696,2110,564,1525,1512,333,3370
35,1,208,0,1346,1390,531,1835,370,1469,998,269,2736
35,1,300,0,2842,3005,854,4162,831,1385,3870,592,5847
35,1,401,0,2135,2230,741,2985,639,1235,2626,504,4365
35,1,402,0,1669,1742,515,2379,517,927,2191,293,3411
35,1,501,0,1189,1375,396,1614,554,969,1205,390,2564
35,1,502,0,2248,2360,538,3389,681,1133,2938,537,4608
35,1,601,0,1841,2005,695,2388,763,1176,2186,484,3846
35,1,603,0,2629,2521,1733,3161,256,3741,686,723,5150
35,1,604,0,2126,1916,1024,2700,318,2540,945,557,4042
35,1,704,0,1840,1875,882,2382,451,1563,1650,502,3715
35,1,707,0,2990,3126,1753,3628,735,3862,1577,677,6116
35,1,708,0,2743,3115,1346,3691,821,2607,2347,904,5858
